Date,Exports
1973,77169
1974,76789
1975,72675
1976,64710
1977,55625
1978,52532
1979,55673
1980,48731
1981,59372
1982,51728
1983,54639
1984,54753
1985,55268
1986,61271
1987,54020
1988,73638
1989,106871
1990,85565
1991,129244
1992,216282
1993,140183
1994,161738
1995,154119
1996,153393
1997,157006
1998,159007
1999,163415
2000,243716
2001,373278
2002,516233
2003,679922
2004,854138
2005,728601
2006,723958
2007,822454
2008,963263
2009,1072357
2010,1136789
2011,1505650
2012,1618828
2013,1572413
2014,1514242
2015,1783512
2016,2335448
2017,3153804
2018,3607841
2019,4657657
2020,5284678
2021,6652609
2022,6906432
2023,7610034
2024,7706568
2025,8964627
